Sebbene le informazioni contenute nel presente documento siano state ottenute da fonti ritenute affidabili, DWS non ne garantisce l’accuratezza, la completezza o l’equità e non deve essere invocata come tale. DWS non si assume alcuna responsabilità per errori, inesattezze o omissioni relativamente alle informazioni qui contenute, e non ha alcun obbligo di aggiornare, modificare o correggere le informazioni che dovessero risultare inesatte. DWS DECLINA ESPRESSAMENTE OGNI RESPONSABILITÀ PER EVENTUALI PERDITE O DANNI DIRETTI, INDIRETTI O DI ALTRA NATURA, IVI INCLUSO L’EVENTUALE LUCRO CESSANTE SUBITO DALL’INVESTITORE O DA TERZI E DERIVANTE DALL’AVER FATTO AFFIDAMENTO SUL PRESENTE DOCUMENTO, O PER LA SUA AFFIDABILITÀ, ACCURATEZZA, COMPLETEZZA O TEMPESTIVITÀ. Il presente documento è stato redatto esclusivamente a scopo informativo e non costituisce un’offerta, raccomandazione o sollecitazione a concludere transazioni.;;;;;;;;;;
;;;;;;;;;;
;Name;ISIN;Country;Currency;Exchange;Type of Security;Rating;Primary Listing;Industry Classification;Weighting
93;TOTALENERGIES;FR0000120271;Francia;EUR;Euronext Paris;Azionari;Aa1;CAC 40 Index;Energia;0,18%
94;ROLLS-ROYCE HOLDINGS PLC;GB00B63H8491;Regno Unito;GBP;London Stock Exchange;Azionari;A2;FTSE 100 Index;Prodotti industriali;0,18%
95;BLACKROCK INC;US09290D1019;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Finanza;0,17%
96;CORNING INC;US2193501051;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Tecnologia dell'informazione;0,17%
97;ABBOTT LABORATORIES;US0028241000;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A1;S&P 500 Index;Sanità;0,17%
98;AT&T INC;US00206R1023;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A3;S&P 500 Index;Servizi di comunicazione;0,17%
99;GILEAD SCIENCES INC;US3755581036;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;Baa1;NASDAQ Composite Index;Sanità;0,17%
100;UNION PACIFIC CORP;US9078181081;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A3;S&P 500 Index;Prodotti industriali;0,17%
101;SUMITOMO MITSUI FINANCIAL GROUP IN;JP3890350006;Giappone;JPY;Tokyo Stock Exchange;Azionari;A2;TOPIX Index;Finanza;0,17%
102;CHARLES SCHWAB CORP;US8085131055;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Finanza;0,17%
103;SIEMENS ENERGY N AG;DE000ENER6Y0;Germania;EUR;-;Azionari;-;DAX Index;Prodotti industriali;0,17%
104;WELLTOWER INC;US95040Q1040;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Immobiliare;0,16%
105;IBERDROLA SA;ES0144580Y14;Spagna;EUR;Mercado Continuo Espana;Azionari;Baa1;IBEX 35 Index;Servizi di pubblica utilità;0,16%
106;HONEYWELL INTERNATIONAL INC;US4385161066;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A2;S&P 500 Index;Prodotti industriali;0,16%
107;INTUITIVE SURGICAL INC;US46120E6023;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Sanità;0,16%
108;LVMH;FR0000121014;Francia;EUR;Euronext Paris;Azionari;A1;CAC 40 Index;Beni voluttuari;0,16%
109;PFIZER INC;US7170811035;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A1;S&P 500 Index;Sanità;0,16%
110;DEERE;US2441991054;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A2;S&P 500 Index;Prodotti industriali;0,16%
111;BANCO BILBAO VIZCAYA ARGENTARIA SA;ES0113211835;Spagna;EUR;Mercado Continuo Espana;Azionari;Baa2;IBEX 35 Index;Finanza;0,16%
112;NOVO NORDISK CLASS B;DK0062498333;Danimarca;DKK;Copenhagen Stock Exchange;Azionari;-;-;Sanità;0,15%
113;ADVANTEST CORP;JP3122400009;Giappone;JPY;Tokyo Stock Exchange;Azionari;-;TOPIX Index;Tecnologia dell'informazione;0,15%
114;BOOKING HOLDINGS INC;US09857L1089;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Beni voluttuari;0,15%
115;SHOPIFY SUBORDINATE VOTING INC CLA;CA82509L1076;Canada;CAD;New York Stock Exchange;Azionari;-;S&P 500 Index;Tecnologia dell'informazione;0,15%
116;SAFRAN SA;FR0000073272;Francia;EUR;Euronext Paris;Azionari;-;CAC 40 Index;Prodotti industriali;0,15%
117;HITACHI LTD;JP3788600009;Giappone;JPY;Tokyo Stock Exchange;Azionari;A3;TOPIX Index;Prodotti industriali;0,15%
118;CONOCOPHILLIPS;US20825C1045;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A1;S&P 500 Index;Energia;0,15%
119;AIRBUS;NL0000235190;Francia;EUR;Euronext Paris;Azionari;A2;CAC 40 Index;Prodotti industriali;0,15%
120;PROLOGIS REIT INC;US74340W1036;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Immobiliare;0,15%
121;UBER TECHNOLOGIES INC;US90353T1007;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Prodotti industriali;0,14%
122;UNILEVER PLC;GB00BVZK7T90;Regno Unito;GBP;London Stock Exchange;Azionari;-;FTSE 100 Index;Beni di prima necessità;0,14%
123;S&P GLOBAL INC;US78409V1044;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Finanza;0,14%
124;CVS HEALTH CORP;US1266501006;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Baa1;S&P 500 Index;Sanità;0,14%
125;UNICREDIT;IT0005239360;Italia;EUR;Milan Stock Exchange;Azionari;-;FTSE Italia All-Share Index;Finanza;0,14%
