05-giu-2026;;;;;;;;;;;
iShares Core MSCI Pacific ex-Japan UCITS ETF;;;;;;;;;;;
Inception Date;12/01/2010;;;;;;;;;;
Fund Holdings as of;05/06/2026;;;;;;;;;;
Number of Securities;93,00;;;;;;;;;;
Shares Outstanding;15.600.285,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
66;MTR CORPORATION CORP LTD;Industriali;Azionario;10.503.372,04;0,29;10.503.372,04;2.615.777,00;4,02;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
SHL;SONIC HEALTHCARE LTD;Salute;Azionario;10.482.641,38;0,29;10.482.641,38;765.455,00;13,69;Australia;Asx - All Markets;AUD
1308;SITC INTERNATIONAL HOLDINGS LTD;Industriali;Azionario;10.264.270,53;0,28;10.264.270,53;2.299.000,00;4,46;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
SGH;SGH LTD;Industriali;Azionario;10.054.472,10;0,28;10.054.472,10;338.722,00;29,68;Australia;Asx - All Markets;AUD
REA;REA GROUP LTD;Comunicazione;Azionario;9.778.269,55;0,27;9.778.269,55;86.954,00;112,45;Australia;Asx - All Markets;AUD
83;SINO LAND LTD;Immobili;Azionario;9.370.077,80;0,26;9.370.077,80;6.306.972,00;1,49;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
WTC;WISETECH GLOBAL LTD;IT;Azionario;9.247.496,30;0,25;9.247.496,30;328.048,00;28,19;Australia;Asx - All Markets;AUD
6823;HKT TRUST AND HKT UNITS LTD;Comunicazione;Azionario;8.959.781,46;0,25;8.959.781,46;5.864.540,00;1,53;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
CEN;CONTACT ENERGY LTD;Imprese di servizi di pubblica utilità;Azionario;8.709.292,14;0,24;8.709.292,14;1.557.322,00;5,59;Nuova Zelanda;New Zealand Exchange Ltd;NZD
USD;USD CASH;Liquidità e/o derivati;Contanti;8.490.377,28;0,23;8.490.377,28;8.490.377,00;100,00;Stati Uniti;--;USD
FUTU;FUTU HOLDINGS ADR LTD;Finanziari;Azionario;8.072.227,24;0,22;8.072.227,24;87.428,00;92,33;Hong Kong;NASDAQ;USD
1928;SANDS CHINA LTD;Consumi Discrezionali;Azionario;7.881.008,06;0,22;7.881.008,06;4.059.600,00;1,94;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
12;HENDERSON LAND DEVELOPMENT LTD;Immobili;Azionario;7.871.921,70;0,22;7.871.921,70;2.213.759,00;3,56;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
QAN;QANTAS AIRWAYS LTD;Industriali;Azionario;7.794.337,12;0,21;7.794.337,12;1.197.758,00;6,51;Australia;Asx - All Markets;AUD
9CI;CAPITALAND INVESTMENT LTD;Immobili;Azionario;7.754.718,39;0,21;7.754.718,39;3.966.600,00;1,96;Singapore;Singapore Exchange;SGD
MEL;MERIDIAN ENERGY LTD;Imprese di servizi di pubblica utilità;Azionario;7.632.148,44;0,21;7.632.148,44;2.216.798,00;3,44;Nuova Zelanda;New Zealand Exchange Ltd;NZD
COH;COCHLEAR LTD;Salute;Azionario;7.594.618,81;0,21;7.594.618,81;106.773,00;71,13;Australia;Asx - All Markets;AUD
1038;CHEUNG KONG INFRASTRUCTURE HOLDING;Imprese di servizi di pubblica utilità;Azionario;7.479.967,71;0,20;7.479.967,71;1.034.500,00;7,23;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
HKD;HKD CASH;Liquidità e/o derivati;Contanti;7.444.081,43;0,20;7.444.081,43;58.323.261,00;12,76;Hong Kong;--;HKD
AUD;AUD CASH;Liquidità e/o derivati;Contanti;7.378.921,82;0,20;7.378.921,82;10.420.734,00;70,81;Australia;--;AUD
1997;WHARF REAL ESTATE INVESTMENT COMPA;Immobili;Azionario;7.358.127,77;0,20;7.358.127,77;2.524.073,00;2,92;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
U96;SEMBCORP INDUSTRIES LTD;Imprese di servizi di pubblica utilità;Azionario;7.207.624,52;0,20;7.207.624,52;1.515.600,00;4,76;Singapore;Singapore Exchange;SGD
F34;WILMAR INTERNATIONAL LTD;Generi di largo consumo;Azionario;7.081.393,33;0,19;7.081.393,33;2.661.200,00;2,66;Singapore;Singapore Exchange;SGD
19;SWIRE PACIFIC LTD A;Industriali;Azionario;6.267.299,41;0,17;6.267.299,41;589.476,00;10,63;Hong Kong;Hong Kong Exchanges And Clearing Ltd;HKD
MLIFT;CASH COLLATERAL USD MLIFT;Liquidità e/o derivati;Cash Collateral and Margins;1.662.000,00;0,05;1.662.000,00;1.662.000,00;100,00;Stati Uniti;--;USD
SGD;SGD CASH;Liquidità e/o derivati;Contanti;317.420,64;0,01;317.420,64;409.155,00;77,58;Singapore;--;SGD
