Questo file è stato scaricato il 09 giu 2026;;;;;;
;;;;;;
Dati delle partecipazioni;;;;;;
Vanguard FTSE North America UCITS ETF (USD) Accumulating;;;;;;
Al 30 apr 2026;;;;;;
;;;;;;
Ticker;Nome delle partecipazioni;% del valore di mercato;Settore;Regione;Valore di mercato;Azioni
APD;Air Products and Chemicals Inc;0,1015%;Basic Materials;US;6.103.917,15 USD;20.343
TRV;Travelers Cos Inc/The;0,1008%;Financials;US;6.059.470,12 USD;19.858
SPG;Simon Property Group Inc;0,1005%;Real Estate;US;6.040.408,92 USD;29.652
MFC;Manulife Financial Corp;0,1003%;Financials;CA;6.029.039,78 USD;153.644
AON;Aon PLC;0,0996%;Financials;US;5.986.173,20 USD;19.208
ABX;Barrick Mining Corp;0,0994%;Basic Materials;CA;5.976.647,94 USD;152.423
DELL;Dell Technologies Inc;0,0993%;Technology;US;5.969.074,65 USD;28.567
TFC;Truist Financial Corp;0,0991%;Financials;US;5.958.395,50 USD;115.697
ECL;Ecolab Inc;0,0989%;Basic Materials;US;5.942.983,00 USD;22.805
NET;Cloudflare Inc;0,0978%;Technology;US;5.879.769,42 USD;28.686
TDG;TransDigm Group Inc;0,0976%;Industrials;US;5.867.178,84 USD;5058
FIX;Comfort Systems USA Inc;0,0974%;Industrials;US;5.853.835,25 USD;3181
KMI;Kinder Morgan Inc;0,0973%;Energy;US;5.848.887,80 USD;177.940
WBD;Warner Bros Discovery Inc;0,0959%;Consumer Discretionary;US;5.763.786,95 USD;213.079
TEL;TE Connectivity PLC;0,0953%;Technology;US;5.729.847,86 USD;27.071
SRE;Sempra;0,0945%;Utilities;US;5.679.044,48 USD;59.704
AZO;AutoZone Inc;0,0942%;Consumer Discretionary;US;5.663.461,87 USD;1529
DASH;DoorDash Inc;0,0939%;Technology;US;5.641.679,80 USD;33.452
PCAR;PACCAR Inc;0,0932%;Industrials;US;5.602.251,60 USD;47.157
CNR;Canadian National Railway Co;0,0931%;Industrials;CA;5.596.026,82 USD;49.923
URI;United Rentals Inc;0,0928%;Industrials;US;5.579.549,92 USD;5813
KEYS;Keysight Technologies Inc;0,0917%;Industrials;US;5.513.881,78 USD;15.758
CTAS;Cintas Corp;0,0914%;Industrials;US;5.496.027,18 USD;31.458
LHX;L3Harris Technologies Inc;0,0911%;Industrials;US;5.476.596,75 USD;17.085
NA;National Bank of Canada;0,09%;Financials;CA;5.408.982,62 USD;35.906
TGT;Target Corp;0,0898%;Consumer Discretionary;US;5.396.821,50 USD;41.594
O;Realty Income Corp;0,0896%;Real Estate;US;5.383.440,48 USD;83.802
LNG;Cheniere Energy Inc;0,0893%;Energy;US;5.370.323,40 USD;19.532
ABNB;Airbnb Inc;0,0893%;Consumer Discretionary;US;5.365.401,36 USD;38.226
OKE;ONEOK Inc;0,088%;Energy;US;5.287.972,32 USD;57.192
WPM;Wheaton Precious Metals Corp;0,0871%;Basic Materials;CA;5.238.037,00 USD;41.552
ALL;Allstate Corp/The;0,0862%;Financials;US;5.182.737,30 USD;23.855
COR;Cencora Inc;0,0858%;Consumer Staples;US;5.159.783,52 USD;16.752
COHR;Coherent Corp;0,0851%;Technology;US;5.117.278,26 USD;16.006
TRGP;Targa Resources Corp;0,0842%;Energy;US;5.060.636,64 USD;19.458
HOOD;Robinhood Markets Inc;0,0841%;Financials;US;5.057.982,88 USD;69.392
D;Dominion Energy Inc;0,0838%;Utilities;US;5.037.514,50 USD;78.101
CTVA;Corteva Inc;0,0836%;Consumer Staples;US;5.022.620,00 USD;62.000
AME;AMETEK Inc;0,0826%;Industrials;US;4.966.224,00 USD;21.088
APO;Apollo Global Management Inc;0,082%;Financials;US;4.930.619,60 USD;38.305
MNST;Monster Beverage Corp;0,0818%;Consumer Staples;US;4.918.992,75 USD;63.825
TER;Teradyne Inc;0,0818%;Technology;US;4.917.459,99 USD;14.317
CVNA;Carvana Co;0,0816%;Consumer Discretionary;US;4.904.753,60 USD;12.392
AFL;Aflac Inc;0,0815%;Financials;US;4.897.130,94 USD;43.082
VST;Vistra Corp;0,0813%;Utilities;US;4.884.200,96 USD;30.944
