;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Core Stoxx Europe 600 UCITS ETF Acc;;;;;
;Codice ISIN;LU0908500753;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 05/06/2026;19.567,83 mln EUR;;;;;
;Valuta di riferimento;EUR;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 05/06/2026. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;FR0000120644;DANONE;EQUITY;EUR; 0,31%;Beni di prima necessità;Francia
;DE000ENAG999;E.ON SE;EQUITY;EUR; 0,31%;Beni di pubblica utilità;Germania
;ES0140609019;CAIXABANK SA;EQUITY;EUR; 0,31%;Finanziari;Spagna
;FR001400T5U9;AIR LIQUIDE PRIME DE FIDELITE 2027;EQUITY;EUR; 0,30%;Materiali;Francia
;GB0002374006;DIAGEO PLC GBP;EQUITY;GBP; 0,30%;Beni di prima necessità;Regno Unito
;CH0126881561;SWISS RE AG;EQUITY;CHF; 0,29%;Finanziari;Svizzera
;DE0007037129;RWE AG;EQUITY;EUR; 0,29%;Beni di pubblica utilità;Germania
;FR0000125007;COMPAGNIE DE SAINT GOBAIN;EQUITY;EUR; 0,29%;Industrali;Francia
;FR0010307819;LEGRAND SA;EQUITY;EUR; 0,29%;Industrali;Francia
;CH0013841017;LONZA GROUP AG-REG;EQUITY;CHF; 0,29%;Sanità;Svizzera
;SE0000667891;SANDVIK AB;EQUITY;SEK; 0,29%;Industrali;Svezia
;NL0011585146;FERRARI NV MILAN;EQUITY;EUR; 0,28%;Beni voluttuari;Italia
;DE000BAY0017;BAYER AG-REG;EQUITY;EUR; 0,27%;Sanità;Germania
;GB00BSZBP530;RECKITT BENCKISER GROUP PLC GBP;EQUITY;GBP; 0,27%;Beni di prima necessità;Regno Unito
;DE0007100000;MERCEDES-BENZ GROUP AG;EQUITY;EUR; 0,27%;Beni voluttuari;Germania
;GB00BMX86B70;HALEON PLC;EQUITY;GBP; 0,27%;Sanità;Regno Unito
;FR0000133308;ORANGE;EQUITY;EUR; 0,26%;Servizi di comunicazione;Francia
;FR001400UH43;L OREAL PRIME DE FIDELITE 2027;EQUITY;EUR; 0,26%;Beni di prima necessità;Francia
;GB0007908733;SSE PLC;EQUITY;GBP; 0,26%;Beni di pubblica utilità;Regno Unito
;GB00BLGZ9862;TESCO PLC;EQUITY;GBP; 0,26%;Beni di prima necessità;Regno Unito
;SE0000108656;ERICSSON LM-B SHS;EQUITY;SEK; 0,25%;Information Technology;Svezia
;BE0003739530;UCB SA;EQUITY;EUR; 0,25%;Sanità;Belgio
;NL0011794037;KONINKLIJKE AHOLD DELHAIZE;EQUITY;EUR; 0,25%;Beni di prima necessità;Paesi Bassi
;AT0000652011;ERSTE GROUP BANK;EQUITY;EUR; 0,24%;Finanziari;Austria
;CH1243598427;SANDOZ GROUP AG;EQUITY;CHF; 0,24%;Sanità;Svizzera
;FR0000120073;AIR LIQUIDE SA;EQUITY;EUR; 0,23%;Materiali;Francia
;SE0007100581;ASSA ABLOY AB -B;EQUITY;SEK; 0,23%;Industrali;Svezia
;NL0015001FS8;FERROVIAL SE MADRID;EQUITY;EUR; 0,23%;Industrali;Spagna
;DE000A1EWWW0;ADIDAS AG;EQUITY;EUR; 0,23%;Beni voluttuari;Germania
;DK0010274414;DANSKE BANK A/S;EQUITY;DKK; 0,22%;Finanziari;Dinamarca
;CH0432492467;ALCON INC - CHF;EQUITY;CHF; 0,22%;Sanità;Svizzera
;SE0000242455;SWEDBANK AB;EQUITY;SEK; 0,22%;Finanziari;Svezia
;US8669661048;SUNBELT RENTALS HOLDINGS INC GBP;EQUITY;GBP; 0,22%;Industrali;Regno Unito
;NO0010096985;EQUINOR ASA;EQUITY;NOK; 0,22%;Energia;Norvegia
;GB0007099541;PRUDENTIAL PLC;EQUITY;GBP; 0,21%;Finanziari;Regno Unito
;GB00B19NLV48;EXPERIAN PLC;EQUITY;GBP; 0,21%;Industrali;Regno Unito
;CH1335392721;GALDERMA GROUP AG;EQUITY;CHF; 0,21%;Sanità;Svizzera
;SE0000148884;SKANDINAVISKA ENSKILDA BANKEN A;EQUITY;SEK; 0,21%;Finanziari;Svezia
