;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Prime Japan UCITS ETF DR (D);;;;;
;Codice ISIN;LU1931974775;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 05/06/2026;680.212,03 mln JPY;;;;;
;Valuta di riferimento;JPY;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 05/06/2026. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;JP3228600007;KANSAI ELECTRIC POWER;EQUITY;JPY; 0,23%;Beni di pubblica utilità;Giappone
;JP3820000002;FUJI ELECTRIC CO;EQUITY;JPY; 0,23%;Industrali;Giappone
;JP3684000007;NITTO DENKO;EQUITY;JPY; 0,23%;Materiali;Giappone
;JP3494600004;SCREEN HOLDINGS CO;EQUITY;JPY; 0,22%;Information Technology;Giappone
;JP3502200003;DAIWA SECURITIES GROUP INC;EQUITY;JPY; 0,22%;Finanziari;Giappone
;JP3183200009;JAPAN EXCHANGE GROUP INC;EQUITY;JPY; 0,22%;Finanziari;Giappone
;JP3258000003;KIRIN HOLDINGS;EQUITY;JPY; 0,22%;Beni di prima necessità;Giappone
;JP3201200007;OLYMPUS CORPORATION;EQUITY;JPY; 0,22%;Sanità;Giappone
;JP3443600006;TAISEI CORP;EQUITY;JPY; 0,22%;Industrali;Giappone
;JP3379550001;JX ADVANCED METALS CORP;EQUITY;JPY; 0,22%;Materiali;Giappone
;JP3573000001;TOKYO GAS CO  Y50;EQUITY;JPY; 0,22%;Beni di pubblica utilità;Giappone
;JP3180400008;OSAKA GAS CO  JPY50;EQUITY;JPY; 0,22%;Beni di pubblica utilità;Giappone
;JP3190000004;OBAYASHI CORP;EQUITY;JPY; 0,21%;Industrali;Giappone
;JP3362700001;MITSUI OSK LINES LTD;EQUITY;JPY; 0,21%;Industrali;Giappone
