05-giu-2026;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;05/06/2026;;;;;;;;;;
Number of Securities;3.063,00;;;;;;;;;;
Shares Outstanding;773.413.045,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
PETR3;PETROLEO BRASILEIRO SA PETROBRAS;Energia;Azionario;89.384.820,81;0,20;89.384.820,81;10.014.874,00;8,93;Brasile;XBSP;BRL
M&M;MAHINDRA AND MAHINDRA LTD;Consumi Discrezionali;Azionario;89.305.869,13;0,20;89.305.869,13;2.788.477,00;32,03;India;National Stock Exchange Of India;INR
FSR;FIRSTRAND LTD;Finanziari;Azionario;88.968.352,05;0,20;88.968.352,05;16.089.397,00;5,53;Sud Africa;Johannesburg Stock Exchange;ZAR
857;PETROCHINA LTD H;Energia;Azionario;88.083.077,53;0,20;88.083.077,53;65.414.000,00;1,35;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
034020;DOOSAN ENERBILITY LTD;Industriali;Azionario;86.049.803,22;0,20;86.049.803,22;1.386.878,00;62,05;Corea;Korea Exchange (Stock Market);KRW
1180;THE SAUDI NATIONAL BANK;Finanziari;Azionario;85.836.984,52;0,19;85.836.984,52;8.230.136,00;10,43;Arabia Saudita;Saudi Stock Exchange;SAR
IKSA;ISHARES MSCI SAUDI ARABIA CAPPED;Finanziari;Azionario;85.500.600,72;0,19;85.500.600,72;13.530.717,00;6,32;Irlanda;London Stock Exchange;USD
9961;TRIP.COM GROUP LTD;Consumi Discrezionali;Azionario;84.902.428,10;0,19;84.902.428,10;1.800.752,00;47,15;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
012330;HYUNDAI MOBIS LTD;Consumi Discrezionali;Azionario;82.527.640,84;0,19;82.527.640,84;182.437,00;452,36;Corea;Korea Exchange (Stock Market);KRW
3017;ASIA VITAL COMPONENTS LTD;IT;Azionario;82.156.436,49;0,19;82.156.436,49;995.973,00;82,49;Taiwan;Taiwan Stock Exchange;TWD
2628;CHINA LIFE INSURANCE LTD H;Finanziari;Azionario;81.424.915,60;0,18;81.424.915,60;22.784.000,00;3,57;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
2899;ZIJIN MINING GROUP LTD H;Materiali;Azionario;78.171.594,86;0,18;78.171.594,86;18.582.000,00;4,21;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
LT;LARSEN AND TOUBRO LTD;Industriali;Azionario;77.950.655,96;0,18;77.950.655,96;1.871.988,00;41,64;India;National Stock Exchange Of India;INR
GFNORTEO;GPO FINANCE BANORTE;Finanziari;Azionario;77.353.864,62;0,18;77.353.864,62;7.592.187,00;10,19;Messico;Bolsa Mexicana De Valores;MXN
028260;SAMSUNG C&T CORP;Industriali;Azionario;76.325.005,84;0,17;76.325.005,84;255.378,00;298,87;Corea;Korea Exchange (Stock Market);KRW
SBK;STANDARD BANK GROUP;Finanziari;Azionario;75.553.925,06;0,17;75.553.925,06;4.049.905,00;18,66;Sud Africa;Johannesburg Stock Exchange;ZAR
000270;KIA CORPORATION;Consumi Discrezionali;Azionario;75.362.241,24;0,17;75.362.241,24;720.783,00;104,56;Corea;Korea Exchange (Stock Market);KRW
992;LENOVO GROUP LTD;IT;Azionario;75.222.555,63;0,17;75.222.555,63;23.688.000,00;3,18;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
3968;CHINA MERCHANTS BANK LTD H;Finanziari;Azionario;73.064.613,18;0,17;73.064.613,18;11.881.492,00;6,15;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
BAJFINANCE;BAJAJ FINANCE LTD;Finanziari;Azionario;72.834.432,04;0,17;72.834.432,04;7.774.486,00;9,37;India;National Stock Exchange Of India;INR
NBK;NATIONAL BANK OF KUWAIT;Finanziari;Azionario;71.331.101,94;0,16;71.331.101,94;26.572.984,00;2,68;Kuwait;Kuwait Stock Exchange;KWD
012450;HANWHA AEROSPACE LTD;Industriali;Azionario;71.082.549,33;0,16;71.082.549,33;104.408,00;680,82;Corea;Korea Exchange (Stock Market);KRW
035420;NAVER CORP;Comunicazione;Azionario;70.882.014,54;0,16;70.882.014,54;427.456,00;165,82;Corea;Korea Exchange (Stock Market);KRW
PKO;POWSZECHNA KASA OSZCZEDNOSCI BANK;Finanziari;Azionario;70.337.491,34;0,16;70.337.491,34;2.625.902,00;26,79;Polonia;Warsaw Stock Exchange/Equities/Main Market;PLN
CPI;CAPITEC LTD;Finanziari;Azionario;70.193.721,05;0,16;70.193.721,05;265.399,00;264,48;Sud Africa;Johannesburg Stock Exchange;ZAR
BAP;CREDICORP LTD;Finanziari;Azionario;69.786.742,50;0,16;69.786.742,50;216.393,00;322,50;Peru;New York Stock Exchange Inc.;USD
006400;SAMSUNG SDI LTD;IT;Azionario;69.586.266,87;0,16;69.586.266,87;188.765,00;368,64;Corea;Korea Exchange (Stock Market);KRW
MTN;MTN GROUP LTD;Comunicazione;Azionario;69.431.585,55;0,16;69.431.585,55;5.395.753,00;12,87;Sud Africa;Johannesburg Stock Exchange;ZAR
PKN;ORLEN SA;Energia;Azionario;69.401.715,79;0,16;69.401.715,79;1.780.882,00;38,97;Polonia;Warsaw Stock Exchange/Equities/Main Market;PLN
2885;YUANTA FINANCIAL HOLDING LTD;Finanziari;Azionario;67.835.157,34;0,15;67.835.157,34;32.743.189,00;2,07;Taiwan;Taiwan Stock Exchange;TWD
QNBK;QATAR NATIONAL BANK;Finanziari;Azionario;67.139.931,58;0,15;67.139.931,58;14.130.433,00;4,75;Qatar;Qatar Exchange;QAR
032830;SAMSUNG LIFE LTD;Finanziari;Azionario;66.862.052,18;0,15;66.862.052,18;249.748,00;267,72;Corea;Korea Exchange (Stock Market);KRW
KOTAKBANK;KOTAK MAHINDRA BANK LTD;Finanziari;Azionario;66.624.007,68;0,15;66.624.007,68;16.757.275,00;3,98;India;National Stock Exchange Of India;INR
086790;HANA FINANCIAL GROUP INC;Finanziari;Azionario;66.183.757,01;0,15;66.183.757,01;825.048,00;80,22;Corea;Korea Exchange (Stock Market);KRW
7010;SAUDI TELECOM;Comunicazione;Azionario;64.874.263,79;0,15;64.874.263,79;5.576.543,00;11,63;Arabia Saudita;Saudi Stock Exchange;SAR
2357;ASUSTEK COMPUTER INC;IT;Azionario;63.560.652,93;0,14;63.560.652,93;2.226.000,00;28,55;Taiwan;Taiwan Stock Exchange;TWD
1288;AGRICULTURAL BANK OF CHINA LTD H;Finanziari;Azionario;63.517.336,01;0,14;63.517.336,01;85.360.000,00;0,74;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
066570;LG ELECTRONICS INC;Consumi Discrezionali;Azionario;63.263.835,67;0,14;63.263.835,67;321.706,00;196,65;Corea;Korea Exchange (Stock Market);KRW
FEMSAUBD;FOMENTO ECONOMICO MEXICANO;Generi di largo consumo;Azionario;61.986.582,31;0,14;61.986.582,31;5.026.021,00;12,33;Messico;Bolsa Mexicana De Valores;MXN
2887;TS FINANCIAL HOLDING LTD;Finanziari;Azionario;60.903.409,41;0,14;60.903.409,41;67.120.455,00;0,91;Taiwan;Taiwan Stock Exchange;TWD
1088;CHINA SHENHUA ENERGY LTD H;Energia;Azionario;60.857.872,20;0,14;60.857.872,20;10.343.000,00;5,88;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
EMAAR;EMAAR PROPERTIES;Immobili;Azionario;60.216.086,99;0,14;60.216.086,99;19.502.525,00;3,09;Emirati Arabi Uniti;Dubai Financial Market;AED
FAB;FIRST ABU DHABI BANK;Finanziari;Azionario;60.159.875,19;0,14;60.159.875,19;13.472.694,00;4,47;Emirati Arabi Uniti;Abu Dhabi Securities Exchange;AED
AMXB;AMERICA MOVIL B;Comunicazione;Azionario;59.034.950,24;0,13;59.034.950,24;47.447.264,00;1,24;Messico;Bolsa Mexicana De Valores;MXN
VAL;VALTERRA PLATINUM LTD;Materiali;Azionario;58.779.311,16;0,13;58.779.311,16;817.138,00;71,93;Sud Africa;Johannesburg Stock Exchange;ZAR
6669;WIWYNN CORPORATION;IT;Azionario;58.001.554,59;0,13;58.001.554,59;323.000,00;179,57;Taiwan;Taiwan Stock Exchange;TWD
CEMEXCPO;CEMEX CPO;Materiali;Azionario;56.863.624,99;0,13;56.863.624,99;45.492.206,00;1,25;Messico;Bolsa Mexicana De Valores;MXN
TCS;TATA CONSULTANCY SERVICES LTD;IT;Azionario;56.528.415,22;0,13;56.528.415,22;2.440.582,00;23,16;India;National Stock Exchange Of India;INR
EAND;EMIRATES TELECOM;Comunicazione;Azionario;55.533.473,12;0,13;55.533.473,12;10.906.982,00;5,09;Emirati Arabi Uniti;Abu Dhabi Securities Exchange;AED
1211;SAUDI ARABIAN MINING;Materiali;Azionario;54.854.901,96;0,12;54.854.901,96;3.264.084,00;16,81;Arabia Saudita;Saudi Stock Exchange;SAR
7769;HONPRECISION INC;IT;Azionario;54.701.851,23;0,12;54.701.851,23;237.000,00;230,81;Taiwan;Taiwan Stock Exchange;TWD
005490;POSCO;Materiali;Azionario;54.556.464,17;0,12;54.556.464,17;215.540,00;253,12;Corea;Korea Exchange (Stock Market);KRW
PBBANK;PUBLIC BANK;Finanziari;Azionario;52.978.539,23;0,12;52.978.539,23;43.818.800,00;1,21;Malesia;Bursa Malaysia;MYR
2412;CHUNGHWA TELECOM LTD;Comunicazione;Azionario;52.303.240,85;0,12;52.303.240,85;11.692.000,00;4,47;Taiwan;Taiwan Stock Exchange;TWD
300750;CONTEMPORARY AMPEREX TECHNOLOGY LT;Industriali;Azionario;52.024.478,77;0,12;52.024.478,77;875.683,00;59,41;Cina;Shenzhen Stock Exchange;CNY
5274;ASPEED TECHNOLOGY INC;IT;Azionario;51.593.918,05;0,12;51.593.918,05;92.900,00;555,37;Taiwan;Gretai Securities Market;TWD
SUNPHARMA;SUN PHARMACEUTICAL INDUSTRIES LTD;Salute;Azionario;51.454.938,57;0,12;51.454.938,57;2.740.960,00;18,77;India;National Stock Exchange Of India;INR
NTPC;NTPC LTD;Imprese di servizi di pubblica utilità;Azionario;51.386.220,85;0,12;51.386.220,85;13.489.327,00;3,81;India;National Stock Exchange Of India;INR
068270;CELLTRION INC;Salute;Azionario;51.185.504,15;0,12;51.185.504,15;460.132,00;111,24;Corea;Korea Exchange (Stock Market);KRW
